Name,AC,HP,STR,DEX,CON,INT,WIS,CHA
"Dinosaur-Plesiosaurus",13,68,18,15,16,2,12,5
"Dinosaur-Pteranodon",13,13,12,15,10,2,9,5
"Dinosaur-Quetzalcoatlus",13,30,15,13,13,2,10,5
"Dinosaur-Stegosaurus",13,76,20,9,17,2,11,5
"Dinosaur-Triceratops",13,95,22,9,17,2,11,5
"Dinosaur-Tyrannosaurus Rex",13,136,25,10,19,2,12,9
"Dinosaur-Velociraptor",13,10,6,14,13,4,12,6
Displacer Beast,13,85,18,15,16,6,12,8
Doppelganger,14,52,11,18,14,11,12,14
"Dragon-Chromatic-Black-Adult",19,195,23,14,21,14,13,17
"Dragon-Chromatic-Black-Ancient",22,367,27,14,25,16,15,19
"Dragon-Chromatic-Black-Wyrmling",17,33,15,14,13,10,11,13
"Dragon-Chromatic-Black-Young",18,127,19,14,17,12,11,15
"Dragon-Chromatic-Blue-Adult",19,225,25,10,23,16,15,19
"Dragon-Chromatic-Blue-Ancient",22,481,29,10,27,18,17,21
"Dragon-Chromatic-Blue-Wyrmling",17,52,17,10,15,12,11,15
"Dragon-Chromatic-Blue-Young",18,152,21,10,19,14,13,17
"Dragon-Chromatic-Green-Adult",19,207,23,12,21,18,15,17
"Dragon-Chromatic-Green-Ancient",21,385,27,12,25,20,17,19
"Dragon-Chromatic-Green-Wyrmling",17,38,15,12,13,14,11,13
"Dragon-Chromatic-Green-Young",18,136,19,12,17,16,13,15
"Dragon-Chromatic-Red-Adult",19,256,27,10,25,16,13,21
"Dragon-Chromatic-Red-Ancient",22,546,30,10,29,18,15,23
"Dragon-Chromatic-Red-Wyrmling",17,75,19,10,17,12,11,15
"Dragon-Chromatic-Red-Young",18,178,23,10,21,14,11,19
"Dragon-Chromatic-White-Adult",18,200,22,10,22,8,12,12
"Dragon-Chromatic-White-Ancient",20,333,26,10,26,10,13,14
"Dragon-Chromatic-White-Wyrmling",16,32,14,10,14,5,10,11
"Dragon-Chromatic-White-Young",14,133,18,10,18,6,11,12
"Dragon-Metallic-Brass-Adult",18,172,23,10,21,14,13,17
"Dragon-Metallic-Brass-Ancient",20,297,27,10,25,16,15,19
"Dragon-Metallic-Brass-Wyrmling",16,16,15,10,13,10,11,13
"Dragon-Metallic-Brass-Young",17,110,19,10,17,12,11,15
"Dragon-Metallic-Bronze-Adult",19,212,25,10,23,16,15,19
"Dragon-Metallic-Bronze-Ancient",22,444,29,10,27,18,17,21
"Dragon-Metallic-Bronze-Wyrmling",17,32,17,10,15,12,11,15
"Dragon-Metallic-Bronze-Young",18,142,21,10,19,14,13,17
"Dragon-Metallic-Copper-Adult",18,184,23,12,21,18,15,17
"Dragon-Metallic-Copper-Ancient",21,350,27,12,25,20,17,19
"Dragon-Metallic-Copper-Wyrmling",16,22,15,12,13,14,11,13
"Dragon-Metallic-Copper-Young",17,119,19,12,17,16,13,15
"Dragon-Metallic-Gold-Adult",19,256,27,14,25,16,15,24
"Dragon-Metallic-Gold-Ancient",22,546,30,14,29,18,17,28
"Dragon-Metallic-Gold-Wyrmling",17,60,19,14,17,14,11,16
"Dragon-Metallic-Gold-Young",18,178,23,14,21,16,13,20
"Dragon-Metallic-Silver-Adult",19,243,27,10,25,16,13,21
"Dragon-Metallic-Silver-Ancient",22,487,30,10,29,18,15,23
"Dragon-Metallic-Silver-Wyrmling",17,45,19,10,17,12,11,15
"Dragon-Metallic-Silver-Young",18,168,23,10,21,14,11,19
"Dragon-Turtle",20,341,25,10,20,10,12,12
Dragonclaw,14,16,9,16,13,11,10,12
Dragonfang,15,78,11,16,14,12,12,14
Dragonsoul,16,110,11,18,14,13,12,16
Dragonwing,14,32,9,16,13,11,10,12
Dread Warrior,18,37,15,11,16,10,12,10
Drider,19,123,16,16,18,13,14,12
Drow,15,13,10,14,10,11,11,12
Drow Arachnomancer,15,162,11,17,14,19,14,16
Drow Elite Warrior,18,71,13,18,14,11,13,12
Drow Favored Consort,15,225,15,20,16,18,15,18
Drow House Captain,16,162,14,19,15,12,14,13
Drow Inquisitor,16,143,11,15,14,16,21,20
Drow Mage,12,45,9,14,10,17,13,12
Drow Matron Mother,17,262,12,18,16,17,21,22
Drow Priestess of Lolth,16,71,10,14,12,13,17,18
Drow Shadowblade,17,150,14,21,16,12,14,13
Dryad,11,22,1,12,11,14,15,18
Duergar,16,26,14,11,14,11,10,9
Duergar Darkhaft,16,26,14,11,14,11,10,9
Duergar Despot,21,119,20,5,19,15,14,13
Duergar Hammerer,17,33,17,7,12,5,5,5
Duergar Kavalrachni,16,26,14,11,14,11,10,9
Duergar Keeper of the Flame,16,26,14,11,14,11,10,9
Duergar Mind Master,14,39,11,17,14,15,10,12
Duergar Screamer,15,38,18,7,12,5,5,5
Duergar Soulblade,14,18,11,16,10,11,10,12
Duergar Spy,15,33,10,16,12,12,10,13
Duergar Stone Guard,18,39,18,11,14,11,10,9
Duergar Warlord,20,75,18,11,17,12,12,14
Duergar Xarrorn,18,26,16,11,14,11,10,9
Eblis,13,26,11,16,12,12,14,11
Eidolon,9,63,7,8,9,14,19,16
"Eidolon-Sacred Statue",19,95,19,8,19,14,19,16
"Eladrin-Autumn",19,127,12,16,16,14,17,18
"Eladrin-Spring",19,127,14,16,16,18,11,18
"Eladrin-Summer",19,127,19,21,16,14,12,18
"Eladrin-Winter",19,127,11,10,16,18,17,13
"Elder Elemental-Elder Tempest",19,264,23,28,23,2,21,18
"Elder Elemental-Leviathan",17,328,30,24,30,2,18,17
"Elder Elemental-Phoenix",18,175,19,26,25,2,21,18
"Elder Elemental-Zaratan",21,307,30,10,30,2,21,18
"Elemental Myrmidon-Air",18,117,18,14,14,9,10,10
"Elemental Myrmidon-Earth",18,127,18,10,17,8,10,10
"Elemental Myrmidon-Fire",18,123,13,18,15,9,10,10
"Elemental Myrmidon-Water",18,127,18,14,15,8,10,10
"Elemental-Air",15,90,14,20,14,6,10,6
"Elemental-Earth",17,126,20,8,20,5,10,5
"Elemental-Fire",13,102,10,17,16,6,10,7
"Elemental-Water",14,114,18,14,18,5,10,8
Empyrean,22,313,30,21,30,21,22,27
Eternal Flame Guardian,17,45,15,13,14,8,11,13
Eternal Flame Priest,12,52,12,15,14,10,11,16
"Eternal Flame-Flamewrath",12,105,10,14,16,11,10,16
"Eternal Flame-Razerblast",17,112,16,11,16,9,10,13
Ettercap,13,44,14,15,13,7,12,8
Ettin,12,85,21,8,17,6,10,8
Faerie Dragon,15,14,3,20,13,14,12,16
Firenewt Warlock of Imix,10,33,13,11,12,9,11,14
Firenewt Warrior,16,22,10,13,12,7,11,8
Flail Snail,16,52,17,5,20,3,10,5
Flameskull,13,40,1,17,14,16,10,11
Flumph,12,7,6,15,10,14,14,11
Flying Monkey,12,3,8,14,11,5,12,6
Fomorian,14,149,23,10,20,9,14,6
Froghemoth,14,184,23,13,20,2,12,5
"Fungus-Gas Spore",5,1,5,1,3,1,1,1
"Fungus-Shrieker",5,13,1,1,10,1,10,3
"Fungus-Violet",5,18,3,1,10,1,3,1
Galeb Duhr,16,85,20,14,20,11,12,11
Gargoyle,15,52,15,11,16,6,11,7
"Gargoyle-Giant Four-Armed",17,147,19,11,20,6,11,9
"Genie-Dao",18,187,23,12,24,12,13,14
"Genie-Djinni",17,161,21,15,22,15,16,20
"Genie-Efreeti",17,200,22,12,24,16,15,16
"Genie-Marid",17,229,22,12,26,18,17,18
Geonid,17,26,12,10,16,9,14,11
Ghost,11,45,7,13,10,10,12,17
Ghoul,12,22,13,15,10,7,10,6
"Ghoul-Ghast",13,36,16,17,10,11,10,8
Giant Crayfish,15,45,15,13,13,1,9,3
Giant Fly,11,19,14,13,13,2,10,3
Giant Ice Toad,14,52,16,13,14,8,10,6
Giant Lightning Eel,13,42,11,17,16,2,12,3
Giant Snapping Turtle,17,75,19,10,14,2,12,5
Giant Strider,14,22,18,13,14,4,12,6
Giant Subterranean Lizard,14,66,21,9,17,2,10,7
"Giant-Cloud",14,200,27,10,22,12,16,16
"Giant-Cloud-Smiling One",15,262,26,12,22,15,16,17
"Giant-Fire",18,162,25,9,23,10,14,13
"Giant-Fire-Dreadnought",21,187,27,9,23,8,10,11
"Giant-Frost",15,138,23,9,21,9,10,12
"Giant-Frost-Everlasting One",15,189,25,9,24,9,10,12
"Giant-Hill",13,105,21,8,19,5,9,6
"Giant-Hill-Mouth of Grolantor",14,105,21,10,18,5,7,5
"Giant-Stone",17,126,23,15,20,10,12,9
"Giant-Stone-Dreamwalker",18,161,23,14,21,10,8,12
"Giant-Storm",16,230,29,14,20,16,18,18
"Giant-Storm-Quintessent",12,230,29,14,20,17,20,19
Gibbering Mouther,9,67,10,8,16,3,10,6
Giff,16,60,18,14,17,11,12,12
Girallon,13,59,18,16,16,5,12,7
Githyanki Gish,17,123,17,15,14,16,15,16
Githyanki Kith'Rak,18,180,18,16,17,16,15,17
Githyanki Knight,18,91,16,14,15,14,14,15
Githyanki Supreme Commander,18,187,19,17,18,16,16,18
Githyanki Warrior,17,49,15,14,12,13,13,10
Githzerai Anarch,20,144,16,21,18,18,20,14
Githzerai Enlightened,18,112,14,19,16,17,19,13
Githzerai Monk,14,38,12,15,12,13,14,10
Githzerai Zerth,17,84,13,18,15,16,17,12
Gnoll,15,22,14,12,11,6,10,7
Gnoll Fang of Yeenoghu,14,65,17,15,15,10,11,13
Gnoll Flesh Gnawer,14,22,12,14,12,8,10,8
Gnoll Hunter,13,22,14,14,12,8,12,8
Gnoll Pack Lord,15,49,16,14,13,8,11,9
Gnoll Witherling,12,11,14,8,12,5,5,5
"Gnoll-Flind",16,127,20,10,19,11,13,12
"Gnome-Deep (Svirfneblin)",15,16,15,14,14,12,10,9
Goblin,15,7,8,14,10,10,8,8
Goblin Boss,17,21,10,14,10,10,8,10
"Golem-Clay",14,133,20,9,18,3,8,1
"Golem-Flesh",9,93,19,9,18,6,10,5
"Golem-Iron",20,210,24,9,20,3,11,1
"Golem-Stone",17,178,22,9,20,3,11,1
Gorgon,19,114,20,11,18,2,12,7
Gray Render,19,189,19,13,20,3,6,8
Grell,12,55,15,14,13,12,11,9
Grick,14,27,14,14,11,3,14,5
Grick Alpha,18,75,18,16,15,4,14,9
Griffon,12,59,18,15,16,2,13,8
Grimlock,11,11,16,12,12,9,8,6
Grung,12,11,7,14,15,10,11,10
Grung Elite Warrior,13,49,7,16,15,10,11,12
Grung Wildling,13,27,7,16,15,10,15,11
Guard Drake,14,52,16,11,16,4,10,7
Guardian Portrait,5,22,1,1,10,14,10,10
"Hag-Annis",17,75,21,12,14,13,14,15
"Hag-Bheur",17,91,13,16,14,12,13,16
"Hag-Green",17,82,18,12,16,13,14,14
"Hag-Night",17,112,18,15,16,16,14,16
"Hag-Sea",14,52,16,13,16,12,12,13
Harpy,11,38,12,13,12,7,10,13
Hell Hound,15,45,17,12,14,6,13,6
Helmed Horror,20,60,18,13,16,10,10,10
Hippogriff,11,19,17,13,13,2,12,8
Hobgoblin,18,11,13,12,12,10,10,9
Hobgoblin Captain,17,39,15,14,14,12,10,13
Hobgoblin Devastator,13,45,13,12,14,16,13,11
Hobgoblin Iron Shadow,15,32,14,16,15,14,15,11
Hobgoblin Warlord,20,97,16,14,16,14,11,15
Homunculus,13,5,4,15,11,10,10,7
Hook Horror,15,75,18,10,15,6,12,7
Howler,16,90,17,16,15,5,20,6
Howling Hatred Initiate,13,9,10,15,10,10,9,11
Howling Hatred Priest,15,45,12,16,10,14,10,14
"Howling Hatred-Feathergale Knight",16,33,14,14,12,11,10,14
"Howling Hatred-Hurricane",14,33,12,16,13,10,12,10
"Howling Hatred-Skyweaver",12,44,8,14,12,11,10,16
Hulking Crab,17,76,19,8,16,3,11,3
Hydra,15,172,20,12,20,2,10,7
Ice Toad,12,32,13,10,14,8,10,6
"Inevitable-Marut",22,432,28,12,26,19,15,18
Intellect Devourer,12,21,6,14,13,12,11,10
Invisible Stalker,14,104,16,19,14,10,15,11
Ixitxachitl,15,18,12,16,13,12,13,7
"Ixitxachitl-Vampiric",16,44,14,18,13,12,13,7
Jackalwere,12,18,11,15,11,13,11,10
Jaculi,14,16,15,14,11,2,8,3
Kalka-Kylla,15,85,17,12,16,15,16,12
Kamadan,13,67,16,16,14,3,14,10
Kelpie,14,67,14,14,16,7,12,10
Kenku,13,13,10,16,10,11,10,10
Ki-Rin,20,152,21,16,16,19,20,20
Kobold,12,5,7,15,9,8,7,8
Kobold Dragonshield,15,44,12,15,14,8,9,10
Kobold Inventor,12,13,7,15,12,8,7,8
Kobold Scale Sorcerer,15,27,7,15,14,10,9,14
"Kobold-Winged",13,7,7,16,9,8,7,8
Korred,17,102,23,14,20,10,15,9
Kraken,18,472,30,11,25,22,18,20
"Kraken-Malformed",17,172,25,11,20,11,15,15
Kruthik Hive Lord,20,102,19,16,17,10,14,10
"Kruthik-Adult",18,39,15,16,15,7,12,8
"Kruthik-Young",16,9,13,16,13,4,10,6
Kuo-Toa,13,13,13,10,11,11,10,8
Kuo-Toa Archpriest,13,97,16,14,16,13,16,14
Kuo-Toa Whip,11,65,14,10,14,12,14,11
Lamia,13,97,16,13,15,14,15,16
Leucrotta,14,67,18,14,15,9,12,6
Lich,17,135,11,16,16,20,14,16
Lizard King/Queen,15,78,17,12,15,11,11,15
Lizardfolk,15,22,15,10,13,7,12,7
Lizardfolk Shaman,13,27,15,10,13,10,15,8
"Lycanthrope-Werebear",11,135,19,10,17,11,12,12
"Lycanthrope-Wereboar",11,78,17,10,15,10,11,8
"Lycanthrope-Wererat",12,33,10,15,12,11,10,8
"Lycanthrope-Wereraven",12,31,10,15,11,13,15,14
"Lycanthrope-Weretiger",12,120,17,15,16,10,13,11
"Lycanthrope-Werewolf",12,58,15,13,14,10,11,10
Magmin,14,9,7,15,12,8,11,10
Manticore,14,68,17,16,17,7,12,8
Mantrap,12,45,15,14,12,1,10,2
Meazel,13,35,8,17,9,14,13,10
Medusa,15,127,10,15,16,12,13,15
Meenlock,15,31,7,15,12,11,10,8
"Mephit-Dust",12,17,5,14,10,9,11,10
"Mephit-Ice",11,21,7,13,10,9,11,12
"Mephit-Magma",11,22,8,12,12,7,10,10
"Mephit-Mud",11,27,8,12,12,9,11,7
"Mephit-Smoke",12,22,6,14,12,10,10,11
"Mephit-Steam",10,21,5,11,10,11,10,12
Merfolk,11,11,10,13,12,11,11,12
Merrow,13,45,18,10,15,8,10,9
Mimic,12,58,17,12,15,5,13,8
Mind Flayer,15,71,11,12,12,19,17,17
Mind Flayer Lich (Illithilich),17,135,11,16,16,20,14,16
"Mind Flayer-Alhoon",15,120,11,12,16,19,17,17
"Mind Flayer-Elder Brain",10,210,15,10,20,21,19,24
"Mind Flayer-Ulitharid",15,127,15,12,15,21,19,21
Mindwitness,15,75,10,14,14,15,15,10
Minotaur,14,76,18,11,16,6,16,9
"Misc. Creature-Ape",12,19,16,14,14,6,12,7
"Misc. Creature-Awakened Shrub",9,10,3,8,11,10,10,6
"Misc. Creature-Awakened Tree",13,59,19,6,15,10,10,7
"Misc. Creature-Axe Beak",11,19,14,12,12,2,10,5
"Misc. Creature-Baboon",12,3,8,14,11,4,12,6
"Misc. Creature-Badger",10,3,4,11,12,2,12,5
"Misc. Creature-Bat",12,1,2,15,8,2,12,4
"Misc. Creature-Black Bear",11,19,15,10,14,2,12,7
"Misc. Creature-Blink Dog",13,22,12,17,12,10,13,11
"Misc. Creature-Blood Hawk",12,7,6,14,10,3,14,5
"Misc. Creature-Boar",11,11,13,11,12,2,9,5
"Misc. Creature-Brown Bear",11,34,19,10,16,2,13,7
"Misc. Creature-Camel",9,15,16,8,14,2,8,5
"Misc. Creature-Cat",12,2,3,15,10,3,12,7
"Misc. Creature-Constrictor Snake",12,13,15,14,12,1,10,3
"Misc. Creature-Crab",11,2,2,11,10,1,8,2
"Misc. Creature-Crocodile",12,19,15,10,13,2,10,5
"Misc. Creature-Death Dog",12,39,15,14,14,3,13,6
"Misc. Creature-Deer",13,4,11,16,11,2,14,5
"Misc. Creature-Dire Wolf",14,37,17,15,15,3,12,7
"Misc. Creature-Draft Horse",10,19,18,10,12,2,11,7
"Misc. Creature-Eagle",12,3,6,15,10,2,14,7
"Misc. Creature-Elephant",12,76,22,9,17,3,11,6
"Misc. Creature-Elk",10,13,16,10,12,2,10,6
"Misc. Creature-Flying Snake",14,5,4,18,11,2,12,5
"Misc. Creature-Frog",11,1,1,13,8,1,8,3
"Misc. Creature-Giant Ape",12,157,23,14,18,7,12,7
"Misc. Creature-Giant Badger",10,13,13,10,15,2,12,5
"Misc. Creature-Giant Bat",13,22,15,16,11,2,12,6
"Misc. Creature-Giant Boar",12,42,17,10,16,2,7,5
"Misc. Creature-Giant Centipede",13,4,5,14,12,1,7,3
"Misc. Creature-Giant Constrictor Snake",12,60,19,14,12,1,10,3
"Misc. Creature-Giant Crab",15,13,13,15,11,1,9,3
"Misc. Creature-Giant Crocodile",14,85,21,9,17,2,10,7
"Misc. Creature-Giant Eagle",13,26,16,17,13,8,14,10
"Misc. Creature-Giant Elk",14,42,19,16,14,7,14,10
"Misc. Creature-Giant Fire Beetle",13,4,8,10,12,1,7,3
"Misc. Creature-Giant Frog",11,18,12,13,11,2,10,3
"Misc. Creature-Giant Goat",11,19,17,11,12,3,12,6
"Misc. Creature-Giant Hyena",12,45,16,14,14,2,12,7
"Misc. Creature-Giant Lizard",12,19,15,12,13,2,10,5
"Misc. Creature-Giant Octopus",11,52,17,13,13,4,10,4
"Misc. Creature-Giant Owl",12,19,13,15,12,8,13,10
"Misc. Creature-Giant Poisonous Snake",14,11,10,18,13,2,10,3
"Misc. Creature-Giant Rat",12,7,7,15,11,2,10,4
"Misc. Creature-Giant Scorpion",15,52,15,13,15,1,9,3
"Misc. Creature-Giant Sea Horse",13,16,12,15,11,2,12,5
"Misc. Creature-Giant Shark",13,126,23,11,21,1,10,5
"Misc. Creature-Giant Spider",14,26,14,16,12,2,11,4
"Misc. Creature-Giant Toad",11,39,15,13,13,2,10,3
"Misc. Creature-Giant Vulture",10,22,15,10,15,6,12,7
"Misc. Creature-Giant Wasp",12,13,10,14,10,1,10,3
"Misc. Creature-Giant Weasel",13,9,11,16,10,4,12,5
"Misc. Creature-Giant Wolf Spider",13,11,12,16,13,3,12,4
"Misc. Creature-Goat",10,4,12,10,11,2,10,5
"Misc. Creature-Hawk",13,1,5,16,8,2,14,6
"Misc. Creature-Hunter Shark",12,45,18,13,15,1,10,4
"Misc. Creature-Hyena",11,5,11,13,12,2,12,5
"Misc. Creature-Jackal",12,3,8,15,11,3,12,6
"Misc. Creature-Killer Whale",12,90,19,10,13,3,12,7
"Misc. Creature-Lion",12,26,17,15,13,3,12,8
"Misc. Creature-Lizard",10,2,2,11,10,1,8,3
"Misc. Creature-Mammoth",13,126,24,9,21,3,11,6
